dv,model,condition,estimate,std.error,statistic,p.value,conf.low,conf.high
"Genocide classification
(binary)",No controls,Killing — hundreds,0.17648645860610623,0.03641942643225014,4.845942835876841,1.3374948128648928e-6,0.10507100825661388,0.2479019089555986
"Genocide classification
(binary)",No controls,Killing — tens of thousands,0.11699637362027043,0.03628772816307679,3.224130568176921,0.0012798821667827347,0.04583917256585579,0.18815357467468508
"Genocide classification
(binary)",No controls,Sexual violence — hundreds,0.17366157730697857,0.03636429751930276,4.775606546910364,1.895513999926153e-6,0.10235423014666574,0.2449689244672914
"Genocide classification
(binary)",No controls,Sexual violence — tens of thousands,0.21650649209960393,0.03610979985226815,5.995782114145521,2.3189348033912038e-9,0.14569819358680294,0.28731479061240495
"Genocide classification
(binary)",No controls,Infrastructure — hundreds,0.37836673130791104,0.03451090804763599,10.96368518572867,2.3822382545259482e-27,0.310693725946976,0.4460397366688461
"Genocide classification
(binary)",No controls,Infrastructure — tens of thousands,0.2947883378703593,0.035803359115498146,8.233538560429508,2.897093518221195e-16,0.22458094402206674,0.36499573171865185
"Genocide classification
(binary)",With controls,Killing — hundreds,0.17924108460150753,0.036608686215029815,4.89613540209262,1.040375707732521e-6,0.10745425784248598,0.2510279113605291
"Genocide classification
(binary)",With controls,Killing — tens of thousands,0.11622810283254037,0.036470991054749484,3.186864394720209,0.0014561700597250048,0.044711285725286695,0.18774491993979403
"Genocide classification
(binary)",With controls,Sexual violence — hundreds,0.17390662790741473,0.03643297175310311,4.77333084673782,1.917651238204873e-6,0.10246436373562441,0.24534889207920507
"Genocide classification
(binary)",With controls,Sexual violence — tens of thousands,0.21813410141955783,0.03633129997216071,6.004026874532584,2.2078940734638015e-9,0.14689120781468495,0.2893769950244307
"Genocide classification
(binary)",With controls,Infrastructure — hundreds,0.38008446025043086,0.0344876930667477,11.020872272170047,1.3150648883743703e-27,0.31245673843165406,0.44771218206920765
"Genocide classification
(binary)",With controls,Infrastructure — tens of thousands,0.2944088223557719,0.03594556483754814,8.190407458787165,4.1239036385369194e-16,0.22392232577428994,0.3648953189372539
"Genocide fit
(1–7 scale)",No controls,Killing — hundreds,0.4756032724704663,0.09505449291347341,5.003480192181977,6.022896144913208e-7,0.28920935899721334,0.6619971859437193
"Genocide fit
(1–7 scale)",No controls,Killing — tens of thousands,0.2603058220455364,0.09044133164431052,2.878173256772383,0.004033916622560915,0.08295793213295016,0.4376537119581226
