dv,condition,estimate,std.error,p.value,conf.low,conf.high
Genocide classification (binary),Killing — hundreds,-0.0383459868851302,0.10023205275018979,0.7020700167446814,-0.23489363017860665,0.15820165640834627
Genocide classification (binary),Killing — tens of thousands,-0.17318687557313328,0.09794897423312775,0.0771621403440534,-0.3652575707280647,0.018883819581798134
Genocide classification (binary),Sexual violence — hundreds,0.11194272332688254,0.0956529457488778,0.2419929613470396,-0.07562562976149706,0.29951107641526215
Genocide classification (binary),Sexual violence — tens of thousands,-0.01140081515302929,0.09462497527495237,0.904109400401922,-0.1969533941603484,0.17415176385428982
Genocide classification (binary),Infrastructure — hundreds,0.014330239860961927,0.08956373407095918,0.8728937999330857,-0.1612976194235755,0.18995809914549938
Genocide classification (binary),Infrastructure — tens of thousands,-8.39915958780196e-4,0.10166228359790584,0.9934087606785372,-0.20019213617920867,0.1985123042616483
Genocide fit (1–7 scale),Killing — hundreds,-0.34536756912392275,0.2662763418635988,0.194743230400274,-0.8675157844112656,0.17678064616342015
Genocide fit (1–7 scale),Killing — tens of thousands,-0.4430718672251969,0.2516879938865522,0.07846369058366745,-0.9366134109363335,0.050469676485939696
Genocide fit (1–7 scale),Sexual violence — hundreds,0.22370884550750775,0.2336860824909397,0.3385071551422627,-0.23453228119626673,0.6819499722112823
Genocide fit (1–7 scale),Sexual violence — tens of thousands,-0.2701021799779655,0.2362500938246846,0.253029469966873,-0.7333711432988481,0.1931667833429172
Genocide fit (1–7 scale),Infrastructure — hundreds,-0.05317645109956588,0.23695078677365944,0.8224492403878436,-0.5178194214772192,0.4114665192780874
Genocide fit (1–7 scale),Infrastructure — tens of thousands,-0.1795291586208611,0.24965943583251338,0.47214973810971905,-0.66909284999968,0.31003453275795784
