model,condition,estimate,std.error,p.value,conf.low,conf.high
No controls,Killing — hundreds,-0.6510416666666664,0.21693233234526654,0.002946279128015472,-1.0781719450613256,-0.22391138827200718
No controls,Killing — tens of thousands,-0.2650462962962963,0.25921473115725746,0.3074782184033141,-0.7754287694215017,0.24533617682890918
No controls,Sexual violence — hundreds,-0.3892045454545451,0.18849362931000277,0.03991327212002164,-0.7603402608750589,-0.018068830034031202
No controls,Sexual violence — tens of thousands,-0.19494047619047605,0.20836550712427798,0.3503464959905842,-0.6052030502552184,0.21532209787426626
No controls,Infrastructure — hundreds,-0.34070121951219506,0.20329920426086537,0.09494480841533227,-0.7409884647309037,0.05958602570651361
No controls,Infrastructure — tens of thousands,-0.06319444444444405,0.24303845131364196,0.7950515668995091,-0.5417265297630198,0.4153376408741317
With controls,Killing — hundreds,-0.690792924107195,0.21473504882535296,0.0014591213084262657,-1.113626575816144,-0.26795927239824574
With controls,Killing — tens of thousands,-0.2762978035683502,0.24918173322008624,0.26852831369550995,-0.766960239779716,0.21436463264301547
With controls,Sexual violence — hundreds,-0.3390306757443292,0.174423287789395,0.05300351428671264,-0.6824866514805232,0.004425299991864751
With controls,Sexual violence — tens of thousands,-0.2017536873282238,0.2053689364490192,0.3268144068455401,-0.6061445765721478,0.20263720191570017
With controls,Infrastructure — hundreds,-0.3483689031384682,0.1954831194669954,0.07589672823538864,-0.7332936823202421,0.036555876043305735
With controls,Infrastructure — tens of thousands,-0.059065086056665383,0.2350274297764309,0.8017710669058158,-0.5218563580346368,0.40372618592130605
